frame,X,Y,Z
160,-0.238919,-0.0464356,1.03606
161,-0.240381,-0.0475245,1.04042
162,-0.238966,-0.0468796,1.03767
163,-0.240318,-0.0477836,1.04082
164,-0.241091,-0.0474421,1.04713
165,-0.242414,-0.0472366,1.04989
166,-0.242941,-0.0471306,1.05059
167,-0.245193,-0.0473096,1.05519
168,-0.248174,-0.048441,1.05686
169,-0.254979,-0.0496789,1.07206
170,-0.261169,-0.0525455,1.08386
171,-0.268027,-0.0564275,1.09851
172,-0.273771,-0.0582569,1.10894
173,-0.277729,-0.0610882,1.11693
174,-0.278341,-0.0619557,1.11824
175,-0.275003,-0.060448,1.11105
176,-0.271388,-0.0592578,1.10574
177,-0.266817,-0.0570943,1.09697
178,-0.264534,-0.0559619,1.09249
179,-0.26134,-0.0541621,1.08545
180,-0.259084,-0.0523714,1.08268
181,-0.257219,-0.0525404,1.07706
182,-0.256827,-0.052909,1.07524
183,-0.255899,-0.0530281,1.07024
184,-0.254798,-0.0532078,1.06873
185,-0.253409,-0.0531214,1.06391
186,-0.252036,-0.0531285,1.06245
187,-0.250528,-0.0518834,1.05766
188,-0.249116,-0.0502794,1.05617
189,-0.246593,-0.0493832,1.0514
190,-0.243568,-0.0478846,1.04499
191,-0.24371,-0.0475964,1.04774
192,-0.241008,-0.0462382,1.04039
193,-0.241227,-0.0460123,1.04236
194,-0.243977,-0.0474026,1.04918
195,-0.244474,-0.047011,1.04812
196,-0.245917,-0.0481262,1.05248
197,-0.246614,-0.0487233,1.05461
198,-0.245704,-0.0477258,1.05045
199,-0.244125,-0.0471852,1.04811
200,-0.243345,-0.0469485,1.04702
201,-0.240914,-0.0466699,1.04183
202,-0.23987,-0.0465923,1.03955
203,-0.239627,-0.0466153,1.03898
204,-0.239771,-0.0466761,1.03924
205,-0.244373,-0.0482122,1.04957
206,-0.248785,-0.0510336,1.05481
207,-0.2529,-0.0525369,1.06181
208,-0.256652,-0.0542867,1.06948
209,-0.257827,-0.054829,1.07213
210,-0.259941,-0.0550054,1.07723
211,-0.260166,-0.0555931,1.07345
212,-0.259679,-0.0556507,1.07046
213,-0.261466,-0.0559985,1.07867
214,-0.260775,-0.055745,1.0772
215,-0.26115,-0.0565361,1.07576
216,-0.265767,-0.0584389,1.08499
217,-0.267799,-0.0592327,1.08918
218,-0.270688,-0.0607503,1.09567
219,-0.271599,-0.061262,1.09789
220,-0.269124,-0.0598893,1.09257
221,-0.266409,-0.0579392,1.08907
222,-0.266,-0.0579953,1.08704
223,-0.266088,-0.0583853,1.09135
224,-0.263849,-0.057278,1.08825
225,-0.261557,-0.0575448,1.08135
226,-0.260648,-0.0577584,1.07811
227,-0.26284,-0.0581864,1.0823
228,-0.26184,-0.0581291,1.07969
229,-0.262476,-0.058086,1.07861
230,-0.262891,-0.0591152,1.07838
231,-0.26207,-0.0596051,1.07857
232,-0.263791,-0.0618819,1.07889
233,-0.262356,-0.0604856,1.07405
234,-0.260542,-0.0595964,1.07182
235,-0.259715,-0.0591038,1.07116
236,-0.255105,-0.0575547,1.0662
237,-0.254115,-0.0568557,1.0642
238,-0.25846,-0.059035,1.06896
239,-0.260936,-0.0591766,1.07183
240,-0.261062,-0.0581541,1.07332
241,-0.263256,-0.0589607,1.07908
242,-0.262911,-0.0591047,1.07648
243,-0.259161,-0.057824,1.06961
244,-0.259484,-0.0574568,1.07121
245,-0.256452,-0.0570745,1.06719
246,-0.256124,-0.0569663,1.06538
247,-0.258515,-0.05727,1.06998
248,-0.257598,-0.057209,1.06748
249,-0.259437,-0.0574827,1.07135
250,-0.258099,-0.0573654,1.06827
251,-0.259657,-0.0575832,1.07173
252,-0.258155,-0.0574217,1.06839
253,-0.257352,-0.0573354,1.06663
254,-0.255965,-0.0572986,1.06589
255,-0.255387,-0.0572902,1.06574
256,-0.254061,-0.0559865,1.06083
257,-0.253583,-0.05537,1.05864
258,-0.253561,-0.05517,1.05804
259,-0.253736,-0.0551868,1.05824
260,-0.253958,-0.0552917,1.05874
261,-0.255363,-0.0567211,1.06429
262,-0.257131,-0.0574499,1.06712
263,-0.258963,-0.0587781,1.06822
264,-0.258631,-0.0582709,1.06837
265,-0.257179,-0.0578643,1.06808
266,-0.254078,-0.0552363,1.06263
267,-0.252575,-0.053943,1.05984
268,-0.249836,-0.0521912,1.05377
269,-0.248776,-0.0515556,1.05124
270,-0.247609,-0.0515214,1.05071
271,-0.246238,-0.0504762,1.04623
272,-0.245918,-0.0501575,1.04462
273,-0.245083,-0.0502107,1.04456
274,-0.242796,-0.0491532,1.04031
275,-0.238812,-0.0475297,1.03394
276,-0.23515,-0.0466978,1.02679
277,-0.23285,-0.0453136,1.01959
278,-0.231391,-0.0448802,1.0173
279,-0.230323,-0.0449369,1.01756
280,-0.231382,-0.0451887,1.01884
281,-0.231378,-0.0454712,1.02029
282,-0.230613,-0.0454999,1.01687
283,-0.230461,-0.0455697,1.01553
284,-0.231653,-0.0458509,1.01997
285,-0.231335,-0.0467976,1.01788
286,-0.232278,-0.0464614,1.02153
287,-0.233783,-0.0462343,1.02342
288,-0.234477,-0.0461,1.02418
289,-0.235759,-0.0472513,1.029
290,-0.237242,-0.0478092,1.03109
291,-0.235681,-0.046783,1.0269
